ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,21.296,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,21.13,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,21.22,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,21.093,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,21.216,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,21.35,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,21.268,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,21.229,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,21.774,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,20.913,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,21.306,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,21.072,
CHX,0,CHX,exp19-24,rpl32,21.356,
CHX,0,CHX,exp19-24,rpl32,21.178,
CHX,0,CHX,exp19-24,rpl32,20.923,
CHX,0,CHX,exp19-24,rpl32,21.424,
CHX,0,CHX,exp19-24,rpl32,21.369,
CHX,0,CHX,exp19-24,rpl32,21.155,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,21.62,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,21.433,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,21.65,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,21.528,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,21.673,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,21.662,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,21.418,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,21.544,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,21.354,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,21.27,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,21.293,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,21.687,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,21.566,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,21.988,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,21.601,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,21.744,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,21.695,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,21.775,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,21.9,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,21.615,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,21.841,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,21.653,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,21.689,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,21.601,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,21.436,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,21.473,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,21.56,
