ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.456,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,20.95,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,20.913,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,20.776,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,20.753,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,21.162,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,20.916,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,rpl32,21.055,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,rpl32,20.976,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,rpl32,20.885,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,rpl32,20.8,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,rpl32,20.949,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,rpl32,19.302,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,rpl32,21.006,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,rpl32,20.777,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,rpl32,20.875,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,rpl32,20.769,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,rpl32,20.891,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,rpl32,20.888,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,rpl32,20.666,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,rpl32,20.65,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,rpl32,20.876,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,rpl32,20.952,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,rpl32,20.917,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,rpl32,20.89,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,rpl32,20.584,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,rpl32,20.608,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,rpl32,20.689,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,rpl32,20.704,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,rpl32,20.788,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,rpl32,20.634,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,rpl32,20.7,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,rpl32,20.724,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,rpl32,21.094,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,rpl32,21.091,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,rpl32,20.824,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,rpl32,20.696,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,rpl32,21.166,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,rpl32,21.076,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,rpl32,21.026,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,rpl32,21.001,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,rpl32,20.95,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,rpl32,20.981,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,rpl32,20.67,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,rpl32,20.619,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,rpl32,0,undetermined
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,rpl32,0,undetermined
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,rpl32,20.623,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,rpl32,20.568,CT
